budget,policy,hit_rate_at_budget,mean_p_activity_at_budget,regret_at_budget,risk_lambda
1,mean,0.7846153846153846,7.201215381805721,1.2573747203964614,0.0
1,prob_active,0.7846153846153846,7.201215381805721,1.2573747203964614,0.0
1,risk_adjusted,0.7846153846153846,7.152073158020126,1.3065169441820548,-0.5
3,mean,0.6461538461538461,6.694398155722637,1.2137940147281783,0.0
3,prob_active,0.6358974358974359,6.632329614987937,1.2758625554628777,0.0
3,risk_adjusted,0.6461538461538461,6.694398155722637,1.2137940147281783,0.0
5,mean,0.6000000000000001,6.467509840697849,1.0824148789515737,0.0
5,prob_active,0.5907692307692308,6.458192888555592,1.0917318310938313,0.0
5,risk_adjusted,0.6000000000000001,6.467509840697849,1.0824148789515737,0.0
10,mean,0.5061538461538463,6.225740675641263,0.7422773262757019,0.0
10,prob_active,0.49846153846153846,6.2119801688763525,0.7560378330406115,0.0
10,risk_adjusted,0.49230769230769234,6.199358162708537,0.7686598392084273,0.25
